사용본거지 시군구,읍면동 (행정동),current_ev_count,total_vehicles,future_ev_count,adjusted_ev_demand,increase_amount,lat,lon,행정동만,search_address,grid_id
서울특별시 용산구,용산구 이태원2동 ,18.0,2528.0,1264.0,1282.0,1264.0,37.541338618781936,126.99597067355921,이태원2동,이태원동,GRID_031_052
서울특별시 은평구,은평구 갈현1동 ,30.0,5431.0,2715.5,2745.5,2715.5,37.41799899288223,126.98720914214908,갈현1동,갈현동,GRID_003_051
서울특별시 은평구,은평구 갈현2동 ,32.0,7503.0,3751.5,3783.5,3751.5,37.41799899288223,126.98720914214908,갈현2동,갈현동,GRID_003_051
서울특별시 은평구,은평구 불광1동 ,66.0,10463.0,5231.5,5297.5,5231.5,37.61263565869795,126.93943967128843,불광1동,불광동,GRID_047_042
서울특별시 은평구,은평구 불광2동 ,27.0,6484.0,3242.0,3269.0,3242.0,37.61263565869795,126.93943967128843,불광2동,불광동,GRID_047_042
서울특별시 은평구,은평구 신사1동 ,65.0,8015.0,4007.5,4072.5,4007.5,37.526222332193825,127.01585132080109,신사1동,신사동,GRID_028_056
서울특별시 은평구,은평구 신사2동 ,63.0,6210.0,3105.0,3168.0,3105.0,37.526222332193825,127.01585132080109,신사2동,신사동,GRID_028_056
서울특별시 은평구,은평구 응암1동 ,69.0,9505.0,4752.5,4821.5,4752.5,37.60085161586647,126.93401419670171,응암1동,응암동,GRID_044_041
서울특별시 은평구,은평구 응암2동 ,84.0,8786.0,4393.0,4477.0,4393.0,37.60085161586647,126.93401419670171,응암2동,응암동,GRID_044_041
서울특별시 은평구,은평구 응암3동 ,40.0,5715.0,2857.5,2897.5,2857.5,37.60085161586647,126.93401419670171,응암3동,응암동,GRID_044_041
서울특별시 종로구,종로구 창신1동 ,4.0,1197.0,598.5,602.5,598.5,37.58025857305607,127.0151204431593,창신1동,창신동,GRID_040_056
서울특별시 종로구,종로구 창신2동 ,7.0,1432.0,716.0,723.0,716.0,37.58025857305607,127.0151204431593,창신2동,창신동,GRID_040_056
서울특별시 종로구,종로구 창신3동 ,10.0,1657.0,828.5,838.5,828.5,37.58025857305607,127.0151204431593,창신3동,창신동,GRID_040_056
서울특별시 중랑구,중랑구 망우3동 ,65.0,5274.0,2637.0,2702.0,2637.0,37.606139919442526,127.11435397651877,망우3동,망우동,GRID_045_073
서울특별시 중랑구,중랑구 면목2동 ,74.0,7445.0,3722.5,3796.5,3722.5,37.588966790634494,127.10194204191839,면목2동,면목동,GRID_041_071
서울특별시 중랑구,중랑구 면목4동 ,40.0,5174.0,2587.0,2627.0,2587.0,37.588966790634494,127.10194204191839,면목4동,면목동,GRID_041_071
서울특별시 중랑구,중랑구 면목5동 ,35.0,4711.0,2355.5,2390.5,2355.5,37.588966790634494,127.10194204191839,면목5동,면목동,GRID_041_071
서울특별시 중랑구,중랑구 면목7동 ,41.0,5996.0,2998.0,3039.0,2998.0,37.588966790634494,127.10194204191839,면목7동,면목동,GRID_041_071
서울특별시 중랑구,중랑구 묵1동 ,66.0,10614.0,5307.0,5373.0,5307.0,37.619116074302454,127.08354433890742,묵1동,묵동,GRID_048_068
서울특별시 중랑구,중랑구 묵2동 ,28.0,5620.0,2810.0,2838.0,2810.0,37.619116074302454,127.08354433890742,묵2동,묵동,GRID_048_068
서울특별시 중랑구,중랑구 신내1동 ,124.0,12815.0,6407.5,6531.5,6407.5,37.61259264174488,127.11428215395756,신내1동,신내동,GRID_047_073
서울특별시 중랑구,중랑구 중화1동 ,39.0,5571.0,2785.5,2824.5,2785.5,37.60194421920133,127.08662401723882,중화1동,중화동,GRID_044_069
서울특별시 중랑구,중랑구 중화2동 ,42.0,6185.0,3092.5,3134.5,3092.5,37.60194421920133,127.08662401723882,중화2동,중화동,GRID_044_069
