grid_id,center_lat,center_lon,demand_score,supply_score,commercial_count,station_count,supply_demand_ratio,population_density,accessibility_score,transport_score,charging_demand_component,commercial_demand_component,ev_registration_factor,time_pattern_factor,imbalance_score,is_underserved,priority_level,high_demand,high_supply,optimization_score
GRID_036_046,37.56425,126.96040000000004,65.42,70.84313,418,14,0.9234487521937554,6270,73.39,79.93624195686482,45.55,50.0,1.1,1.1,0.9105950701201352,False,Low,True,False,5976.495265811257
GRID_030_066,37.53725,127.07240000000009,71.56,101.68479,156,0,0.7037434015451082,2340,93.7,87.22451486585521,45.55,50.0,1.1,1.1,0.6968899678326264,False,Low,True,False,5974.989799623078
GRID_032_066,37.54625,127.07240000000009,70.73,101.68479,174,3,0.6955809221811836,2610,90.93,93.54846257369216,45.55,50.0,1.1,1.1,0.6888069791056689,False,Low,True,False,5972.680269951492
GRID_031_064,37.54175,127.06120000000008,70.72,101.68479,229,3,0.695482579056317,3435,90.91,88.24625292138884,45.55,50.0,1.1,1.1,0.6887095936993199,False,Low,True,False,5971.293177987237
GRID_032_064,37.54625,127.06120000000008,70.82,101.68479,247,4,0.6964660103049826,3705,91.25,83.86595158874358,45.55,50.0,1.1,1.1,0.6896834477628088,False,Low,True,False,5954.708183896626
GRID_041_047,37.58675,126.96600000000004,67.59,70.84313,66,5,0.9540798098559452,990,80.56,87.19906269802816,45.55,50.0,1.1,1.1,0.9407997674934264,False,Low,True,False,5943.109739865556
GRID_030_044,37.53725,126.94920000000003,54.85,32.587030000000006,502,5,1.683184997221287,7530,38.43,42.34095789707004,45.55,50.0,1.1,1.1,1.6330708609841356,False,Medium,True,False,5941.107128914991
GRID_031_043,37.54175,126.94360000000005,54.24,32.587030000000006,652,4,1.6644658933324084,9780,36.43,34.31943809148161,45.55,50.0,1.1,1.1,1.614909088418952,False,Medium,True,False,5924.254539607746
GRID_019_059,37.48775,127.03320000000006,71.6,188.96379,525,3,0.3789085729070103,7875,93.81,96.39332593251764,45.55,50.0,1.1,1.1,0.3769139371245436,False,Low,True,True,5914.0016098181395
GRID_032_063,37.54625,127.05560000000008,72.59,164.75208,378,2,0.4406014175966701,5670,97.07,91.98554781009403,45.55,50.0,1.1,1.1,0.4379432221906356,False,Low,True,False,5909.280027804376
GRID_039_051,37.57775,126.98840000000006,68.21,175.63305,827,11,0.3883665403521717,12405,82.6,91.73951004811498,45.55,50.0,1.1,1.1,0.3861678208013732,False,Low,True,True,5886.135516353348
GRID_033_048,37.55075,126.97160000000004,65.76,70.84313,397,8,0.9282480884173244,5955,74.5,68.87971195167373,45.55,50.0,1.1,1.1,0.9153276033491304,False,Low,True,False,5881.675157959412
GRID_024_063,37.51025,127.05560000000008,68.53,244.96785,1010,2,0.279750995895992,15150,83.66,88.18196591381711,45.55,50.0,1.1,1.1,0.2786136480844956,False,Low,True,True,5881.265850522901
GRID_046_045,37.60925,126.95480000000003,56.77,31.54303,61,3,1.7997636878892105,915,44.8,41.45550509426637,45.55,50.0,1.1,1.1,1.744459566303445,False,Medium,True,False,5849.611391436622
GRID_035_052,37.55975,126.99400000000006,65.59,104.78992,819,6,0.6259189815203601,12285,73.95,72.2651687849632,45.55,50.0,1.1,1.1,0.620002359393031,False,Low,True,False,5835.401680184724
GRID_037_046,37.56875,126.96040000000004,65.42,70.84313,303,7,0.9234487521937554,4545,73.39,76.41279155459505,45.55,50.0,1.1,1.1,0.9105950701201352,False,Low,True,False,5831.632544438703
GRID_028_046,37.52825,126.96040000000004,54.37,32.587030000000006,446,5,1.6684552105546282,6690,36.84,42.40453061700848,45.55,50.0,1.1,1.1,1.6187796301131714,False,Medium,True,False,5825.455000790984
GRID_032_062,37.54625,127.05000000000008,70.74,164.75208,439,0,0.4293724243117294,6585,90.96,95.02177355913568,45.55,50.0,1.1,1.1,0.4267819746213742,False,Low,True,False,5825.276283819722
GRID_023_063,37.50575,127.05560000000008,67.02,244.96785,1082,4,0.2735869217123798,16230,78.67,87.80647585214447,45.55,50.0,1.1,1.1,0.2724746343881934,False,Low,True,True,5810.004825081792
GRID_033_049,37.55075,126.97720000000004,66.32,87.41647,373,13,0.7586671024350444,5595,76.34,85.18076206205589,45.55,50.0,1.1,1.1,0.7500864940660942,False,Low,True,False,5806.468395353586
GRID_037_053,37.56875,126.99960000000006,63.62,104.78992,1045,4,0.6071194633987697,15675,67.42,67.21098816006109,45.55,50.0,1.1,1.1,0.6013805474094318,False,Low,True,False,5805.55745022664
GRID_021_059,37.49675,127.03320000000006,67.54,188.96379,893,1,0.357422975057814,13395,80.39,87.54069276675514,45.55,50.0,1.1,1.1,0.3555414429244647,False,Low,True,True,5802.467231129178
GRID_031_067,37.54175,127.07800000000007,69.81,101.68479,70,0,0.68653335469346,1050,87.9,95.38129754534324,45.55,50.0,1.1,1.1,0.6798475217215714,False,Low,True,False,5800.795435643919
GRID_020_059,37.49225,127.03320000000006,69.57,188.96379,706,3,0.3681657739824122,10590,87.12,86.19493922730528,45.55,50.0,1.1,1.1,0.3662276900245041,False,Low,True,True,5797.953852710786
GRID_038_052,37.57325,126.99400000000006,65.59,175.63305,1083,14,0.3734490746473969,16245,73.95,81.36570244907087,45.55,50.0,1.1,1.1,0.3713348096519875,False,Low,True,True,5783.709018347695
GRID_030_064,37.53725,127.06120000000008,69.41,101.68479,113,0,0.6825996296987975,1695,86.59,92.87786174955204,45.55,50.0,1.1,1.1,0.6759521054676159,False,Low,True,False,5777.267218092495
GRID_034_046,37.55525,126.96040000000004,63.99,70.84313,446,4,0.9032633086652156,6690,68.67,72.37104592012248,45.55,50.0,1.1,1.1,0.890690592127598,False,Low,True,False,5776.343072831402
GRID_045_044,37.60475,126.94920000000003,56.55,31.54303,28,7,1.7927890884293611,420,44.07,39.80835847252917,45.55,50.0,1.1,1.1,1.7376992861451437,False,Medium,True,False,5772.498536870681
GRID_030_067,37.53725,127.07800000000007,69.52,101.68479,111,1,0.6836814040723297,1665,86.93,91.07064927352258,45.55,50.0,1.1,1.1,0.6770233449374536,False,Low,True,False,5767.843217637478
GRID_029_045,37.53275,126.95480000000003,54.89,32.587030000000006,359,7,1.6844124794435085,5385,38.57,37.95451955238672,45.55,50.0,1.1,1.1,1.6342617968900492,False,Medium,True,False,5766.276913742247
GRID_041_051,37.58675,126.98840000000006,67.44,70.84313,60,4,0.9519624556396646,900,80.05,70.49147400156082,45.55,50.0,1.1,1.1,0.9387118851865168,False,Low,True,False,5754.231358949554
GRID_042_050,37.59125,126.98280000000004,67.69,70.84313,27,6,0.9554913793334652,405,80.88,70.93512325357173,45.55,50.0,1.1,1.1,0.942191689031366,False,Low,True,False,5753.71392098816
GRID_025_061,37.51475,127.04440000000008,71.72,244.96785,516,0,0.2927731128799146,7740,94.21,92.49349118989166,45.55,50.0,1.1,1.1,0.291582822714432,False,Low,True,True,5741.192784267162
GRID_018_059,37.48325,127.03320000000006,73.05,188.96379,205,4,0.3865820007102948,3075,98.62,95.73553709682852,45.55,50.0,1.1,1.1,0.3845469707674289,False,Low,True,True,5736.134984342862
GRID_031_063,37.54175,127.05560000000008,72.31,244.96785,364,1,0.2951815921966903,5460,96.17,100.0,45.55,50.0,1.1,1.1,0.2939815101851726,False,Low,True,True,5724.706857661751
GRID_033_066,37.55075,127.07240000000009,68.78,101.68479,136,0,0.6764040128322043,2040,84.5,90.88716000606756,45.55,50.0,1.1,1.1,0.6698168248676362,False,Low,True,False,5716.69527813724
GRID_025_062,37.51475,127.05000000000008,71.79,244.96785,428,0,0.2930588646632609,6420,94.43,96.27566180360586,45.55,50.0,1.1,1.1,0.2918674127533334,False,Low,True,True,5701.266465635118
GRID_033_065,37.55075,127.06680000000009,68.69,101.68479,163,1,0.6755189247084052,2445,84.18,86.00650710158008,45.55,50.0,1.1,1.1,0.6689403562104962,False,Low,True,False,5684.364609949793
GRID_036_053,37.56425,126.99960000000006,63.62,104.78992,811,2,0.6071194633987697,12165,67.42,77.11523104970627,45.55,50.0,1.1,1.1,0.6013805474094318,False,Low,True,False,5681.530289037295
GRID_033_064,37.55075,127.06120000000008,69.63,101.68479,112,1,0.6847631784458619,1680,87.29,81.07792668896062,45.55,50.0,1.1,1.1,0.6780945844072914,False,Low,True,False,5679.7239826366995
GRID_029_066,37.53275,127.07240000000009,69.7,101.68479,65,1,0.6854515803199279,975,87.54,84.32756225719781,45.55,50.0,1.1,1.1,0.6787762822517337,False,Low,True,False,5674.636936531541
GRID_035_051,37.55975,126.98840000000006,67.85,175.63305,639,5,0.3863168122400652,9585,81.4,91.3474921913446,45.55,50.0,1.1,1.1,0.3841296971319919,False,Low,True,True,5669.473014784522
GRID_024_062,37.51025,127.05000000000008,70.05,244.96785,549,2,0.2859558917629395,8235,88.68,97.16999707351144,45.55,50.0,1.1,1.1,0.2847933175006408,False,Low,True,True,5668.678839036985
GRID_032_067,37.54625,127.07800000000007,69.05,101.68479,32,0,0.6790592772036014,480,85.4,91.7191530747642,45.55,50.0,1.1,1.1,0.6724462308390561,False,Low,True,False,5652.761982781953
GRID_042_047,37.59125,126.96600000000004,66.3,70.84313,50,7,0.9358705635959336,750,76.29,73.11875293816071,45.55,50.0,1.1,1.1,0.9228439796540044,False,Low,True,False,5650.482277221601
GRID_042_048,37.59125,126.97160000000004,64.38,70.84313,20,7,0.9087684296275446,300,81.15,79.45007604498201,45.55,42.0,1.1,1.1,0.8961190861255627,False,Low,True,False,5650.157503729994
GRID_044_043,37.60025,126.94360000000005,55.72,31.54303,74,3,1.7664758268308405,1110,41.33,33.11085463962652,45.55,50.0,1.1,1.1,1.712194592820644,False,Medium,True,False,5639.487190831065
